PreC_#,Team Name,PreC_M,PreC_W,PreC_D,PreC_L,PreC_Dif,PreC_Pt,PreC_F,PreC_A,Final_#,PostC_M,PostC_W,PostC_D,PostC_L,PostC_Dif,PostC_Pt,PostC_F,PostC_A,PostC_PPG,PreC_PPG,PPG_Diff,season
1,FC Barcelona,27,18,4,5,32,58,63,31,2,11,7,3,1,16,24,23,7,2.18,2.15,0.03,2019-2020
2,Real Madrid,27,16,8,3,30,56,49,19,1,11,10,1,0,15,31,21,6,2.82,2.07,0.75,2019-2020
3,Sevilla FC,27,13,8,6,10,47,39,29,4,11,6,5,0,10,23,15,5,2.09,1.74,0.35,2019-2020
4,Real Sociedad,27,14,4,9,12,46,45,33,6,11,2,4,5,-4,10,11,15,0.91,1.7,-0.79,2019-2020
5,Getafe CF,27,13,7,7,12,46,37,25,8,11,1,5,5,-6,8,6,12,0.73,1.7,-0.97,2019-2020
6,Atlético Madrid,27,11,12,4,10,45,31,21,3,11,7,4,0,14,25,20,6,2.27,1.67,0.6,2019-2020
7,Valencia CF,27,11,9,7,-1,42,38,39,9,11,3,2,6,-6,11,8,14,1.0,1.56,-0.56,2019-2020
8,Villarreal CF,27,11,5,11,6,38,44,38,5,11,7,1,3,8,22,19,11,2.0,1.41,0.59,2019-2020
9,Granada CF,27,11,5,11,1,38,33,32,7,11,5,3,3,6,18,19,13,1.64,1.41,0.23,2019-2020
10,Athletic Bilbao,27,9,10,8,6,37,29,23,11,11,4,2,5,-3,14,12,15,1.27,1.37,-0.1,2019-2020
11,CA Osasuna,27,8,10,9,-4,34,34,38,10,11,5,3,3,-4,18,12,16,1.64,1.26,0.38,2019-2020
12,Real Betis,27,8,9,10,-5,33,38,43,15,11,2,2,7,-7,8,10,17,0.73,1.22,-0.49,2019-2020
13,Levante UD,27,10,3,14,-8,33,32,40,12,11,4,4,3,2,16,15,13,1.45,1.22,0.23,2019-2020
14,CD Alavés,27,8,8,11,-8,32,29,37,16,11,2,1,8,-17,7,5,22,0.64,1.19,-0.55,2019-2020
15,Real Valladolid,27,6,11,10,-10,29,23,33,13,11,3,4,4,-1,13,9,10,1.18,1.07,0.11,2019-2020
16,SD Eibar,27,7,6,14,-14,27,27,41,14,11,4,3,4,-3,15,12,15,1.36,1.0,0.36,2019-2020
17,Celta Vigo,27,5,11,11,-12,26,22,34,17,11,2,5,4,0,11,15,15,1.0,0.96,0.04,2019-2020
18,RCD Mallorca,27,7,4,16,-16,25,28,44,19,11,2,2,7,-9,8,12,21,0.73,0.93,-0.2,2019-2020
19,CD Leganés,27,5,8,14,-18,23,21,39,18,11,3,4,4,-3,13,9,12,1.18,0.85,0.33,2019-2020
20,Espanyol Barcelona,27,4,8,15,-23,20,23,46,20,11,1,2,8,-8,5,4,12,0.45,0.74,-0.29,2019-2020
1,FC Barcelona,27,19,6,2,43,63,69,26,1,11,7,3,1,11,24,21,10,2.18,2.33,-0.15,2018-2019
2,Atlético Madrid,27,16,8,3,22,56,39,17,2,11,6,2,3,4,20,16,12,1.82,2.07,-0.25,2018-2019
3,Real Madrid,27,16,3,8,15,51,47,32,3,11,5,2,4,2,17,16,14,1.55,1.89,-0.34,2018-2019
4,Getafe CF,27,12,9,6,12,45,36,24,5,11,3,5,3,1,14,12,11,1.27,1.67,-0.4,2018-2019
5,CD Alavés,27,11,8,8,-2,41,28,30,11,11,2,3,6,-9,9,11,20,0.82,1.52,-0.7,2018-2019
6,Sevilla FC,27,11,7,9,10,40,46,36,6,11,6,1,4,5,19,16,11,1.73,1.48,0.25,2018-2019
7,Valencia CF,27,8,15,4,7,39,30,23,4,11,7,1,3,9,22,21,12,2.0,1.44,0.56,2018-2019
8,Real Betis,27,11,6,10,-1,39,31,32,10,11,3,2,6,-7,11,13,20,1.0,1.44,-0.44,2018-2019
9,SD Eibar,27,8,11,8,-1,35,35,36,12,11,3,3,5,-3,12,11,14,1.09,1.3,-0.21,2018-2019
10,Real Sociedad,27,9,8,10,0,35,32,32,9,11,4,3,4,-1,15,13,14,1.36,1.3,0.06,2018-2019
11,Espanyol Barcelona,27,9,7,11,-8,34,32,40,7,11,5,4,2,6,19,16,10,1.73,1.26,0.47,2018-2019
12,Athletic Bilbao,27,7,13,7,-5,34,26,31,8,11,6,1,4,1,19,15,14,1.73,1.26,0.47,2018-2019
